Product Name,Price
Bundle: Charcoal Monthly Bundle + Lip Balm,"Rs.5,014.00"
De-Tan Bundle,"Rs.2,349.00"
Charcoal Facewash + Charcoal Face Mask + Charcoal Scrub,"Rs.2,149.00"
Beard Growth Kit,"Rs.3,599.00"
De-Tan + Charcoal Face Wash Bundle,"Rs.1,349.00"
Bundle: Lip Balm + Under Eye Balm,"Rs.1,349.00"
Dune & Flare Perfumed Body Spray Bundle,"Rs.1,449.00"
Charcoal Face Wash,Rs.699.00
Beard Growth Oil,"Rs.1,499.00"
Lip Lightener Balm,Rs.999.00
De-Tan Face Wash,Rs.799.00
Urban Beard Oil,"Rs.1,199.00"
Lip Balm,Rs.499.00
Hair Clay Wax,Rs.999.00
Under Eye Balm,Rs.999.00
Cedar Wood Beard Oil,Rs.799.00
Charcoal Face Scrub,Rs.799.00
keratin shampoo,Rs.699.00
